seq, timestamp, timefinished, raw_temp_0, raw_temp_1, raw_volt_0, raw_volt_1, temp_0, temp_1, press, volt_in
87, 21.50032901763916, 21.506438970565796, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
88, 21.75030755996704, 21.75641369819641, 27.5, 0.0, 0.5200158696249275, 0.0, 35.88875, 13.534, 0.08506744590594195, 0.0
89, 22.00031018257141, 22.00651979446411, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
90, 22.25034213066101, 22.256550550460815, 27.75, 0.0, 0.5200158696249275, 0.0, 36.091975, 13.534, 0.08506744590594195, 0.0
91, 22.500304460525513, 22.50639247894287, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
92, 22.750306606292725, 22.75636053085327, 27.75, 0.0, 0.5200158696249275, 0.0, 36.091975, 13.534, 0.08506744590594195, 0.0
93, 23.000311851501465, 23.006572246551514, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
94, 23.2502601146698, 23.256438732147217, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
95, 23.500311851501465, 23.506410121917725, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
96, 23.750308990478516, 23.756022691726685, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
97, 24.00031065940857, 24.00643563270569, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
98, 24.250307321548462, 24.256436347961426, 27.75, 0.0, 0.5200158696249275, -0.002000061037018952, 36.091975, 13.534, 0.08506744590594195, -0.002000061037018952
99, 24.5003080368042, 24.506382942199707, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
100, 24.75031042098999, 24.756350994110107, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
101, 25.00031018257141, 25.006391763687134, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
102, 25.25024938583374, 25.256433963775635, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
103, 25.500311374664307, 25.506455659866333, 28.25, 0.0, 0.5200158696249275, -0.002000061037018952, 36.498425, 13.534, 0.08506744590594195, -0.002000061037018952
104, 25.750320434570312, 25.756491661071777, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
105, 26.000211238861084, 26.006350994110107, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
106, 26.250320196151733, 26.25649404525757, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
107, 26.500308990478516, 26.50640106201172, 28.0, 0.0, 0.5200158696249275, -0.002000061037018952, 36.2952, 13.534, 0.08506744590594195, -0.002000061037018952
108, 26.75030779838562, 26.75637459754944, 28.0, 0.0, 0.5200158696249275, 0.0, 36.2952, 13.534, 0.08506744590594195, 0.0
109, 27.000205516815186, 27.005720138549805, 28.25, 0.0, 0.5200158696249275, 0.0, 36.498425, 13.534, 0.08506744590594195, 0.0
110, 27.250314474105835, 27.25661587715149, 28.25, 0.0, 0.5220159306619465, -0.002000061037018952, 36.498425, 13.534, 0.09356770531327269, -0.002000061037018952
111, 27.50032114982605, 27.506510019302368, 27.25, 0.0, 0.5200158696249275, 0.0, 35.685525, 13.534, 0.08506744590594195, 0.0
112, 27.75031566619873, 27.756450653076172, 27.75, 0.0, 0.5200158696249275, 0.0, 36.091975, 13.534, 0.08506744590594195, 0.0
